source_fullname,source_shortname,base_url,pages_url,num_pages,save_locally,anti_robot,load_more_button,alt_source_domain
IMT News,www.imtnews.ph,https://www.imtnews.ph/,https://www.imtnews.ph/,1,False,True,False,
Ilocos Times,theilocostimes.blogspot.com,https://theilocostimes.blogspot.com/,https://theilocostimes.blogspot.com/,1,False,True,False,
Journal Online,journal.com.ph,https://journal.com.ph/,https://journal.com.ph/,1,False,True,False,
La Jornada Filipina,lajornadafilipina.com,https://lajornadafilipina.com/,https://lajornadafilipina.com/,1,False,True,False,
Leyte-Samar Daily Express,www.leytesamardailynews.com,https://www.leytesamardailynews.com/,https://www.leytesamardailynews.com/,1,False,True,False,
Metro Cebu News,metrocebu.news,https://metrocebu.news/,https://metrocebu.news/,1,False,True,False,
Mindanao Examiner,mindanaoexaminernewspaper.blogspot.com,https://mindanaoexaminernewspaper.blogspot.com/,https://mindanaoexaminernewspaper.blogspot.com/,1,False,True,False,
Mindanao Times,mindanaotimes.com.ph,https://mindanaotimes.com.ph/,https://mindanaotimes.com.ph/,1,False,True,False,
NewsWatch Plus,www.newswatchplus.ph,https://www.newswatchplus.ph/,https://www.newswatchplus.ph/,1,False,True,False,
Newsline Central Luzon,newslinecl.com,https://newslinecl.com/,https://newslinecl.com/,1,False,True,False,
